,TARGET,DAYS_EMPLOYED,DAYS_ID_PUBLISH,REGION_RATING_CLIENT,REG_CITY_NOT_WORK_CITY,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_LAST_PHONE_CHANGE,CODE_GENDER_F,AMT_CREDIT,AMT_INCOME_TOTAL,AMT_ANNUITY,Client,Working,Higher_Education,AGE
0,1.0,637.0,2120.0,2.0,0.0,0.2629485927471776,0.1393757800997895,1134.0,0.0,406597.5,202500.0,24700.5,100002.0,1.0,0.0,25.92054794520548
1,0.0,1188.0,291.0,1.0,0.0,0.6222457752555098,0.5108529061799658,828.0,1.0,1293502.5,270000.0,35698.5,100003.0,0.0,1.0,45.93150684931507
2,0.0,225.0,2531.0,2.0,0.0,0.5559120833904428,0.7295666907060153,815.0,0.0,135000.0,67500.0,6750.0,100004.0,1.0,0.0,52.18082191780822
3,0.0,3039.0,2437.0,2.0,0.0,0.6504416904014653,0.5108529061799658,617.0,1.0,312682.5,135000.0,29686.5,100006.0,1.0,0.0,52.06849315068493
4,0.0,3038.0,3458.0,2.0,1.0,0.3227382869704046,0.5108529061799658,1106.0,0.0,513000.0,121500.0,21865.5,100007.0,1.0,0.0,54.608219178082194
5,0.0,1588.0,477.0,2.0,0.0,0.3542247319929012,0.6212263380626669,2536.0,0.0,490495.5,99000.0,27517.5,100008.0,0.0,0.0,46.413698630136984
6,0.0,3130.0,619.0,2.0,0.0,0.7239998516953141,0.4920600938649263,1562.0,1.0,1560726.0,171000.0,41301.0,100009.0,0.0,1.0,37.74794520547945
7,0.0,449.0,2379.0,3.0,1.0,0.7142792864482229,0.5406544504453575,1070.0,0.0,1530000.0,360000.0,42075.0,100010.0,0.0,1.0,51.64383561643836
8,0.0,1213.0,3514.0,2.0,0.0,0.2057472880073281,0.7517237147741489,-0.0,1.0,1019610.0,112500.0,33826.5,100011.0,0.0,0.0,55.06575342465754
9,0.0,2019.0,3992.0,2.0,0.0,0.7466436294590924,0.5108529061799658,1673.0,0.0,405000.0,135000.0,20250.0,100012.0,1.0,0.0,39.64109589041096
10,0.0,679.0,738.0,2.0,0.0,0.6518623334244781,0.363945238612397,844.0,1.0,652500.0,112500.0,21177.0,100014.0,1.0,1.0,27.936986301369863
11,0.0,1213.0,2512.0,2.0,0.0,0.5551831615131809,0.6528965519806539,2396.0,1.0,148365.0,38419.155,10678.5,100015.0,0.0,0.0,55.93698630136986
12,0.0,2717.0,3227.0,2.0,0.0,0.7150418188660659,0.1766525794312139,2370.0,1.0,80865.0,67500.0,5881.5,100016.0,1.0,0.0,36.81917808219178
13,0.0,3028.0,4911.0,2.0,0.0,0.5669066132460429,0.7700870700124128,4.0,0.0,918468.0,225000.0,28966.5,100017.0,1.0,0.0,38.59178082191781
14,0.0,203.0,2056.0,2.0,0.0,0.6426562048311103,0.5108529061799658,188.0,1.0,773680.5,189000.0,32778.0,100018.0,1.0,0.0,39.95342465753425
15,0.0,1157.0,1368.0,3.0,1.0,0.34663398139668,0.6785676886853644,925.0,0.0,299772.0,157500.0,20160.0,100019.0,1.0,0.0,23.912328767123288
16,0.0,1317.0,3866.0,2.0,1.0,0.2363778398884225,0.0621030378372968,3.0,0.0,509602.5,108000.0,26149.5,100020.0,1.0,0.0,35.42739726027397
17,0.0,191.0,2427.0,2.0,1.0,0.6835133461914255,0.5108529061799658,2811.0,1.0,270000.0,81000.0,13500.0,100021.0,1.0,0.0,26.783561643835615
18,0.0,7804.0,1259.0,1.0,0.0,0.7064284028871654,0.5567274263630174,239.0,1.0,157500.0,112500.0,7875.0,100022.0,1.0,0.0,48.54246575342466
19,0.0,2038.0,3964.0,2.0,0.0,0.5866171400119664,0.4776491548517548,1850.0,1.0,544491.0,90000.0,17563.5,100023.0,0.0,1.0,31.09041095890411
20,0.0,4286.0,1800.0,2.0,0.0,0.113374512719927,0.5108529061799658,296.0,0.0,427500.0,135000.0,21375.0,100024.0,1.0,0.0,50.00547945205479
21,0.0,1652.0,2299.0,2.0,0.0,0.2337669575081463,0.5424451438613613,-0.0,1.0,1132573.5,202500.0,37561.5,100025.0,0.0,0.0,40.58904109589041
22,0.0,4306.0,2518.0,3.0,0.0,0.457142971588935,0.3589512285783967,468.0,1.0,497520.0,450000.0,32521.5,100026.0,1.0,0.0,30.53698630136986
23,0.0,1213.0,3684.0,3.0,0.0,0.6243047373592765,0.6690566947824041,795.0,1.0,239850.0,83250.0,23850.0,100027.0,0.0,0.0,68.01917808219179
24,0.0,746.0,3729.0,2.0,1.0,0.7861793090532118,0.5656079814115492,4.0,0.0,247500.0,135000.0,12703.5,100029.0,1.0,0.0,30.92054794520548
25,0.0,3494.0,2893.0,2.0,0.0,0.6514056365297631,0.4614823912998385,-0.0,1.0,225000.0,90000.0,11074.5,100030.0,1.0,0.0,52.96986301369863
26,1.0,2628.0,1827.0,3.0,0.0,0.5484771599678789,0.190705947811054,161.0,1.0,979992.0,112500.0,27076.5,100031.0,1.0,0.0,51.298630136986304
